time,0_rod(payload_bars compound_254q9J).X,0_rod(payload_bars compound_254q9J).Y,0_rod(payload_bars compound_254q9J).Z,0_rod(payload_bars compound_254q9J).Euler1,0_rod(payload_bars compound_254q9J).Euler2,0_rod(payload_bars compound_254q9J).Euler3,0_rod(payload_bars compound_254q9J).mass,1_rod(payload_bars compound_254q9J).X,1_rod(payload_bars compound_254q9J).Y,1_rod(payload_bars compound_254q9J).Z,1_rod(payload_bars compound_254q9J).Euler1,1_rod(payload_bars compound_254q9J).Euler2,1_rod(payload_bars compound_254q9J).Euler3,1_rod(payload_bars compound_254q9J).mass,2_rod(payload_bars compound_254q9J).X,2_rod(payload_bars compound_254q9J).Y,2_rod(payload_bars compound_254q9J).Z,2_rod(payload_bars compound_254q9J).Euler1,2_rod(payload_bars compound_254q9J).Euler2,2_rod(payload_bars compound_254q9J).Euler3,2_rod(payload_bars compound_254q9J).mass,3_rod(payload_bars compound_254q9J).X,3_rod(payload_bars compound_254q9J).Y,3_rod(payload_bars compound_254q9J).Z,3_rod(payload_bars compound_254q9J).Euler1,3_rod(payload_bars compound_254q9J).Euler2,3_rod(payload_bars compound_254q9J).Euler3,3_rod(payload_bars compound_254q9J).mass,4_rod(payload_bars compound_254q9J).X,4_rod(payload_bars compound_254q9J).Y,4_rod(payload_bars compound_254q9J).Z,4_rod(payload_bars compound_254q9J).Euler1,4_rod(payload_bars compound_254q9J).Euler2,4_rod(payload_bars compound_254q9J).Euler3,4_rod(payload_bars compound_254q9J).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.2121,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-0.704629,23.3608,5.12276,0.568496,-0.190057,-1.85962,0.199491,3.96505,26.5252,4.96539,0.353438,0.293428,-1.85775,0.199491,2.72505,25.0444,5.75911,0.529809,0.227008,-0.160996,0.199491,2.92838,25.7065,7.76588,0.579756,-0.0990139,-0.301535,0.199491,3.3485,24.0102,6.48842,-1.05648,0.534161,-0.135025,0.199645,0.949761,26.5599,5.23366,-1.04575,0.540635,-0.0480304,0.199491,
0.2222,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-0.660673,24.2257,5.30217,0.566881,-0.167781,-1.83911,0.199491,4.03346,27.4602,5.30554,0.556131,0.328689,-1.82334,0.199491,2.85755,25.8512,6.09541,0.552008,0.238133,-0.160025,0.199491,3.04404,26.6785,7.97977,0.530844,0.163131,-0.311158,0.199491,3.49817,25.084,6.75609,-1.00699,0.491362,-0.116494,0.199645,1.03498,27.3406,5.56588,-1.03468,0.650538,-0.0415707,0.199491,
0.2323,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-0.539807,25.079,5.5366,0.559773,-0.160462,-1.82414,0.199491,4.07137,28.3602,5.63286,0.450268,0.277946,-1.87383,0.199491,2.98775,26.7496,6.43217,0.569409,0.281488,-0.172258,0.199491,3.15795,27.5805,8.14731,0.6142,-0.0133377,-0.30936,0.199491,3.60253,26.063,7.04764,-0.967866,0.526692,-0.107201,0.199645,1.1232,28.1815,5.87793,-1.0092,0.58545,-0.0330529,0.199491,
0.2424,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-0.337424,25.8624,5.81505,0.642138,-0.15877,-1.8415,0.199491,4.1407,29.2467,5.93711,0.570355,0.312737,-1.8421,0.199491,3.07442,27.693,6.71893,0.602505,0.226484,-0.183918,0.199491,3.23965,28.4844,8.44087,0.633434,-0.0170547,-0.29084,0.199491,3.70167,26.9661,7.30245,-0.943459,0.52833,-0.107577,0.199645,1.17945,29.0747,6.12978,-0.983921,0.565109,-0.0251883,0.199491,
0.2525,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-0.160325,26.6508,6.11326,0.65949,-0.18514,-1.84785,0.199491,4.24874,30.1968,6.17158,0.490805,0.291092,-1.86523,0.199491,3.15072,28.644,6.95648,0.614232,0.294631,-0.191457,0.199491,3.27415,29.3523,8.83311,0.6031,0.150294,-0.298768,0.199491,3.85928,27.7755,7.57946,-0.930332,0.478864,-0.105884,0.199645,1.22133,29.9615,6.35995,-0.945955,0.551575,-0.0274893,0.199491,
0.2626,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-0.00841667,27.4319,6.41565,0.671052,-0.208348,-1.85722,0.199491,4.34588,31.1934,6.38168,0.608744,0.309718,-1.82709,0.199491,3.24205,29.5346,7.15752,0.654987,0.220193,-0.170254,0.199491,3.30802,30.2223,9.23008,0.699246,-0.0917748,-0.317057,0.199491,4.01456,28.5756,7.90049,-0.92465,0.51917,-0.109484,0.199645,1.28722,30.8163,6.59804,-0.912464,0.594011,-0.0288223,0.199491,
0.2727,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0.204925,28.249,6.72793,0.703251,-0.227401,-1.87483,0.199491,4.38239,32.1284,6.64053,0.544616,0.277991,-1.84794,0.199491,3.34547,30.3597,7.38847,0.670469,0.200006,-0.149881,0.199491,3.35866,31.093,9.52526,0.631925,0.171224,-0.331618,0.199491,4.10811,29.4539,8.20195,-0.89557,0.450761,-0.105406,0.199645,1.38523,31.6236,6.86896,-0.879746,0.605395,-0.0235529,0.199491,
0.2828,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0.459753,29.0995,7.0541,0.737335,-0.242218,-1.89187,0.199491,4.38005,32.9891,6.9426,0.634291,0.277859,-1.83282,0.199491,3.46303,31.1596,7.67374,0.660729,0.279754,-0.141241,0.199491,3.42719,31.9337,9.68283,0.734271,-0.0652945,-0.326618,0.199491,4.13737,30.3959,8.49299,-0.870061,0.506544,-0.103572,0.199645,1.51291,32.4029,7.17648,-0.842828,0.555081,-0.0164266,0.199491,
0.2929,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0.67754,29.927,7.3526,0.771914,-0.246997,-1.9078,0.199491,4.38754,33.8469,7.24788,0.593251,0.241882,-1.85328,0.199491,3.58612,31.9573,7.96231,0.685908,0.217236,-0.128633,0.199491,3.50491,32.7769,9.85467,0.72163,0.0346486,-0.328434,0.199491,4.18663,31.315,8.79146,-0.833514,0.468308,-0.09438,0.199645,1.63306,33.1708,7.48345,-0.812167,0.477636,-0.00675747,0.199491,
0.303,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0.81191,30.6695,7.59734,0.802766,-0.252715,-1.90848,0.199491,4.46946,34.7292,7.52228,0.67276,0.256685,-1.84175,0.199491,3.68311,32.8163,8.22554,0.696814,0.30139,-0.137455,0.199491,3.57427,33.6156,10.2061,0.745963,0.035307,-0.338878,0.199491,4.34011,32.1361,9.08059,-0.807874,0.479135,-0.0902739,0.199645,1.69236,33.9805,7.73019,-0.785315,0.550184,-0.00165251,0.199491,
0.3131,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0.909351,31.3737,7.8116,0.810193,-0.259613,-1.90116,0.199491,4.60233,35.6138,7.7923,0.659376,0.251852,-1.85342,0.199491,3.76926,33.6788,8.49818,0.75252,0.172831,-0.14683,0.199491,3.62135,34.4537,10.6102,0.8096,-0.0791935,-0.342847,0.199491,4.52873,32.9417,9.34945,-0.79071,0.478248,-0.0835171,0.199645,1.7356,34.7786,7.96997,-0.75661,0.614034,0.00207674,0.199491,
0.3232,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,1.03519,32.0935,8.03062,0.831018,-0.256755,-1.89323,0.199491,4.6886,36.4305,8.0975,0.718438,0.259108,-1.84976,0.199491,3.85698,34.5685,8.80878,0.778464,0.232405,-0.174236,0.199491,3.71726,35.2562,10.9073,0.756049,0.131338,-0.346517,0.199491,4.6887,33.7451,9.63617,-0.757725,0.448976,-0.0731103,0.199645,1.7753,35.5797,8.22094,-0.737151,0.553161,0.0104923,0.199491,
0.3333,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,1.18543,32.8237,8.23947,0.870075,-0.243024,-1.89264,0.199491,4.75508,37.1937,8.44893,0.706149,0.24784,-1.87043,0.199491,3.9591,35.3867,9.15391,0.812576,0.183515,-0.196728,0.199491,3.81943,36.0757,11.1332,0.868414,-0.121753,-0.333774,0.199491,4.7851,34.6293,9.88998,-0.723627,0.486583,-0.0626173,0.199645,1.85337,36.3375,8.50553,-0.717146,0.538774,0.0231344,0.199491,
