time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,2_rod(strut).X,2_rod(strut).Y,2_rod(strut).Z,2_rod(strut).Euler1,2_rod(strut).Euler2,2_rod(strut).Euler3,2_rod(strut).mass,3_rod(strut).X,3_rod(strut).Y,3_rod(strut).Z,3_rod(strut).Euler1,3_rod(strut).Euler2,3_rod(strut).Euler3,3_rod(strut).mass,4_rod(strut).X,4_rod(strut).Y,4_rod(strut).Z,4_rod(strut).Euler1,4_rod(strut).Euler2,4_rod(strut).Euler3,4_rod(strut).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(payload_bars compound_5KJ2Nf).X,6_rod(payload_bars compound_5KJ2Nf).Y,6_rod(payload_bars compound_5KJ2Nf).Z,6_rod(payload_bars compound_5KJ2Nf).Euler1,6_rod(payload_bars compound_5KJ2Nf).Euler2,6_rod(payload_bars compound_5KJ2Nf).Euler3,6_rod(payload_bars compound_5KJ2Nf).mass,7_rod(payload_bars compound_5KJ2Nf).X,7_rod(payload_bars compound_5KJ2Nf).Y,7_rod(payload_bars compound_5KJ2Nf).Z,7_rod(payload_bars compound_5KJ2Nf).Euler1,7_rod(payload_bars compound_5KJ2Nf).Euler2,7_rod(payload_bars compound_5KJ2Nf).Euler3,7_rod(payload_bars compound_5KJ2Nf).mass,8_rod(payload_bars compound_5KJ2Nf).X,8_rod(payload_bars compound_5KJ2Nf).Y,8_rod(payload_bars compound_5KJ2Nf).Z,8_rod(payload_bars compound_5KJ2Nf).Euler1,8_rod(payload_bars compound_5KJ2Nf).Euler2,8_rod(payload_bars compound_5KJ2Nf).Euler3,8_rod(payload_bars compound_5KJ2Nf).mass,9_rod(payload_bars compound_5KJ2Nf).X,9_rod(payload_bars compound_5KJ2Nf).Y,9_rod(payload_bars compound_5KJ2Nf).Z,9_rod(payload_bars compound_5KJ2Nf).Euler1,9_rod(payload_bars compound_5KJ2Nf).Euler2,9_rod(payload_bars compound_5KJ2Nf).Euler3,9_rod(payload_bars compound_5KJ2Nf).mass,10_rod(payload_bars compound_5KJ2Nf).X,10_rod(payload_bars compound_5KJ2Nf).Y,10_rod(payload_bars compound_5KJ2Nf).Z,10_rod(payload_bars compound_5KJ2Nf).Euler1,10_rod(payload_bars compound_5KJ2Nf).Euler2,10_rod(payload_bars compound_5KJ2Nf).Euler3,10_rod(payload_bars compound_5KJ2Nf).mass,
0.2121,-4.31465,24.0558,3.5075,-0.410606,0.114142,-1.90899,0.199491,2.75373,22.8483,2.07936,-0.311762,0.150372,-1.89997,0.199491,0.0511752,22.7591,2.23105,-0.22144,0.357589,-0.312814,0.199491,1.12833,23.2964,5.19431,-0.181833,0.236673,-0.306038,0.199491,0.568253,21.8426,4.48833,-1.80699,0.40722,-0.225488,0.199645,-0.0942861,25.4791,3.36947,-1.80319,0.276936,-0.197363,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.2222,-4.40365,24.9332,3.76924,-0.685485,0.0331136,-1.91806,0.199491,2.83128,23.6232,2.14961,-0.301578,0.172154,-1.88498,0.199491,-0.011086,23.5699,2.29185,-0.189154,0.23796,-0.285908,0.199491,1.14061,24.0671,5.46086,-0.134996,0.0771579,-0.293826,0.199491,0.554716,22.5483,4.63893,-1.89497,0.613587,-0.273185,0.199645,-0.0564768,26.3317,3.54577,-1.92314,0.675205,-0.267941,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.2323,-4.48376,25.763,4.02641,-0.13332,0.235651,-1.83602,0.199491,2.89968,24.3778,2.23949,-0.0522368,0.25909,-1.8127,0.199491,-0.0934653,24.3754,2.35304,-0.137931,0.0195806,-0.262418,0.199491,1.16613,24.8436,5.73275,-0.175298,0.172099,-0.284786,0.199491,0.546011,23.2559,4.7782,-1.84041,0.323498,-0.247207,0.199645,-0.0163584,27.1896,3.71263,-1.97846,0.768192,-0.315611,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.2424,-4.53726,26.5961,4.26931,0.239086,0.327161,-1.71585,0.199491,2.96989,25.1114,2.32355,-0.135397,0.254739,-1.81761,0.199491,-0.183839,25.1606,2.41265,-0.207502,0.249187,-0.259577,0.199491,1.22014,25.6182,6.0137,-0.233247,0.345074,-0.279089,0.199491,0.517973,23.9551,4.92014,-1.88605,0.397249,-0.270812,0.199645,-0.00581823,28.0358,3.88942,-1.84362,0.31988,-0.254857,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.2525,-4.58998,27.4292,4.51423,-0.134124,0.27192,-1.80895,0.199491,3.02897,25.8485,2.4017,-0.27111,0.237949,-1.83629,0.199491,-0.2663,25.9426,2.48867,-0.256442,0.410758,-0.260332,0.199491,1.24698,26.3655,6.28764,-0.2111,0.246018,-0.266599,0.199491,0.510089,24.6386,5.05621,-2.0082,0.655839,-0.332508,0.199645,0.014171,28.8647,4.06657,-1.97014,0.65373,-0.328509,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.2626,-4.64374,28.2516,4.75415,-0.480748,0.199963,-1.87693,0.199491,3.06192,26.5871,2.48818,-0.16499,0.276667,-1.79533,0.199491,-0.32502,26.7205,2.57249,-0.184895,0.10249,-0.22483,0.199491,1.2926,27.1002,6.54021,-0.228484,0.287327,-0.267124,0.199491,0.480462,25.3232,5.19592,-1.92112,0.364326,-0.295197,0.199645,0.0405576,29.6583,4.25031,-1.89886,0.416998,-0.300153,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.2727,-4.65948,29.0441,4.98865,0.0305549,0.344951,-1.71737,0.199491,3.07742,27.3179,2.59745,-0.273834,0.264738,-1.81368,0.199491,-0.386606,27.4816,2.68794,-0.264199,0.404292,-0.231616,0.199491,1.318,27.8306,6.73194,-0.241832,0.303221,-0.260997,0.199491,0.437194,26.0224,5.33927,-2.02399,0.594618,-0.346833,0.199645,0.0831256,30.4361,4.44225,-2.02389,0.683758,-0.37785,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.2828,-4.63542,29.8259,5.20628,-0.354797,0.301075,-1.81321,0.199491,3.04397,28.0483,2.71852,-0.181788,0.297621,-1.77958,0.199491,-0.421523,28.2361,2.8455,-0.211561,0.146927,-0.2044,0.199491,1.33483,28.5517,6.88573,-0.255631,0.319155,-0.262062,0.199491,0.394699,26.741,5.47107,-1.99782,0.50312,-0.337559,0.199645,0.115956,31.1614,4.64668,-1.91603,0.385088,-0.332125,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.2929,-4.57505,30.5938,5.40067,-0.339062,0.333532,-1.78693,0.199491,2.97318,28.7898,2.86164,-0.317362,0.286281,-1.80931,0.199491,-0.441261,28.9794,3.05262,-0.282096,0.434661,-0.206904,0.199491,1.34123,29.26,6.99713,-0.269778,0.334633,-0.260913,0.199491,0.343271,27.4667,5.59819,-2.00563,0.498052,-0.347691,0.199645,0.154011,31.8464,4.84979,-2.08357,0.708117,-0.42994,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.303,-4.47528,31.327,5.59699,0.0464657,0.401255,-1.62404,0.199491,2.87456,29.5236,3.00678,-0.214224,0.325442,-1.76735,0.199491,-0.450203,29.7386,3.27228,-0.257983,0.270848,-0.183636,0.199491,1.33051,29.9434,7.08282,-0.270035,0.293686,-0.255896,0.199491,0.283314,28.2119,5.73941,-2.0366,0.541661,-0.372604,0.199645,0.19536,32.5031,5.04801,-1.94501,0.386927,-0.365995,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
