time,0_rod(payload_bars compound_4642aL).X,0_rod(payload_bars compound_4642aL).Y,0_rod(payload_bars compound_4642aL).Z,0_rod(payload_bars compound_4642aL).Euler1,0_rod(payload_bars compound_4642aL).Euler2,0_rod(payload_bars compound_4642aL).Euler3,0_rod(payload_bars compound_4642aL).mass,1_rod(payload_bars compound_4642aL).X,1_rod(payload_bars compound_4642aL).Y,1_rod(payload_bars compound_4642aL).Z,1_rod(payload_bars compound_4642aL).Euler1,1_rod(payload_bars compound_4642aL).Euler2,1_rod(payload_bars compound_4642aL).Euler3,1_rod(payload_bars compound_4642aL).mass,2_rod(payload_bars compound_4642aL).X,2_rod(payload_bars compound_4642aL).Y,2_rod(payload_bars compound_4642aL).Z,2_rod(payload_bars compound_4642aL).Euler1,2_rod(payload_bars compound_4642aL).Euler2,2_rod(payload_bars compound_4642aL).Euler3,2_rod(payload_bars compound_4642aL).mass,3_rod(payload_bars compound_4642aL).X,3_rod(payload_bars compound_4642aL).Y,3_rod(payload_bars compound_4642aL).Z,3_rod(payload_bars compound_4642aL).Euler1,3_rod(payload_bars compound_4642aL).Euler2,3_rod(payload_bars compound_4642aL).Euler3,3_rod(payload_bars compound_4642aL).mass,4_rod(payload_bars compound_4642aL).X,4_rod(payload_bars compound_4642aL).Y,4_rod(payload_bars compound_4642aL).Z,4_rod(payload_bars compound_4642aL).Euler1,4_rod(payload_bars compound_4642aL).Euler2,4_rod(payload_bars compound_4642aL).Euler3,4_rod(payload_bars compound_4642aL).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.2121,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.32638,97.2003,-0.553836,-0.010261,0.00776391,-2.34398,0.199491,3.33274,97.2095,-0.613829,-0.0112021,-0.00960553,-2.35979,0.199491,0.46095,96.4417,-0.784249,-0.00416146,-0.00272364,-0.776831,0.199491,0.837543,98.8125,1.93364,-0.00432909,-0.00598598,-0.804733,0.199491,0.708764,96.8182,1.87953,-1.56846,-0.0217473,-0.00763712,0.199645,-0.274745,99.454,-1.07057,-1.56998,0.0152546,-0.00536679,0.199491,
0.2222,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.32068,96.9844,-0.553678,-0.0113893,0.00762969,-2.34334,0.199491,3.32969,96.996,-0.61506,-0.0118209,-0.0101603,-2.35997,0.199491,0.460453,96.2277,-0.782803,-0.00426963,-0.00303874,-0.77638,0.199491,0.837033,98.5975,1.93125,-0.00473631,-0.00610547,-0.80577,0.199491,0.705271,96.6026,1.87908,-1.56807,-0.0229166,-0.00770879,0.199645,-0.272896,99.2373,-1.06811,-1.56995,0.0165608,-0.0056415,0.199491,
0.2323,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.31498,96.7584,-0.553518,-0.0125194,0.00749532,-2.34269,0.199491,3.32664,96.7725,-0.616291,-0.0124395,-0.0107152,-2.36016,0.199491,0.459956,96.0037,-0.781356,-0.00437796,-0.00335364,-0.775929,0.199491,0.836523,98.3725,1.92886,-0.00514356,-0.00622554,-0.806807,0.199491,0.701779,96.3771,1.87864,-1.56768,-0.0240845,-0.00777959,0.199645,-0.271046,99.0106,-1.06565,-1.56993,0.017867,-0.00591623,0.199491,
0.2424,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.30927,96.5224,-0.553361,-0.0136555,0.00735679,-2.34204,0.199491,3.32359,96.539,-0.617522,-0.0130579,-0.0112704,-2.36034,0.199491,0.459459,95.7697,-0.77991,-0.00448649,-0.00366853,-0.775478,0.199491,0.836012,98.1376,1.92647,-0.00555084,-0.0063462,-0.807844,0.199491,0.698286,96.1416,1.8782,-1.5673,-0.0252444,-0.0078517,0.199645,-0.269197,98.7738,-1.06319,-1.5699,0.0191732,-0.00619098,0.199491,
0.2525,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.30357,96.2765,-0.553206,-0.0147978,0.00721467,-2.34139,0.199491,3.32054,96.2955,-0.618753,-0.0136761,-0.0118258,-2.36052,0.199491,0.458962,95.5257,-0.778463,-0.0045952,-0.00398342,-0.775027,0.199491,0.835501,97.8926,1.92408,-0.00595813,-0.0064666,-0.80888,0.199491,0.694794,95.896,1.87775,-1.56692,-0.0263957,-0.00792478,0.199645,-0.267347,98.5271,-1.06073,-1.56987,0.0204794,-0.00646575,0.199491,
0.2626,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.29785,96.0205,-0.553033,-0.015998,0.00703157,-2.34074,0.199491,3.31749,96.042,-0.619985,-0.0142941,-0.0123814,-2.3607,0.199491,0.458466,95.2717,-0.777017,-0.00470411,-0.00429831,-0.774576,0.199491,0.834934,97.6376,1.92168,-0.00638414,-0.00659102,-0.809905,0.199491,0.691342,95.6405,1.87731,-1.56654,-0.0274683,-0.0079955,0.199645,-0.265497,98.2703,-1.05827,-1.56985,0.0217856,-0.00674055,0.199491,
0.2727,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.29211,95.7544,-0.552819,-0.0173116,0.00675269,-2.3401,0.199491,3.31444,95.7784,-0.621216,-0.0149119,-0.0129373,-2.36088,0.199491,0.457967,95.0077,-0.77557,-0.00480795,-0.00461168,-0.774129,0.199491,0.834306,97.3726,1.91927,-0.00682867,-0.00671585,-0.810918,0.199491,0.687931,95.375,1.87683,-1.56618,-0.028382,-0.00804783,0.199645,-0.263648,98.0036,-1.05581,-1.56982,0.0230919,-0.00701538,0.199491,
0.2828,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.28633,95.4784,-0.552615,-0.018605,0.00648669,-2.33944,0.199491,3.31139,95.5049,-0.622447,-0.0155294,-0.0134933,-2.36107,0.199491,0.457448,94.7337,-0.774124,-0.0048901,-0.00492226,-0.773696,0.199491,0.833657,97.0976,1.91687,-0.0072765,-0.00683261,-0.811926,0.199491,0.684522,95.0994,1.87635,-1.56583,-0.0292851,-0.00810051,0.199645,-0.261798,97.7268,-1.05335,-1.5698,0.0243981,-0.00729024,0.199491,
0.2929,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.28055,95.1924,-0.552412,-0.0199019,0.00621976,-2.33879,0.199491,3.30835,95.2213,-0.623682,-0.0161464,-0.0140421,-2.36124,0.199491,0.456929,94.4496,-0.772678,-0.00497252,-0.00523285,-0.773263,0.199491,0.833006,96.8126,1.91446,-0.00772467,-0.00694981,-0.812933,0.199491,0.681106,94.8139,1.87588,-1.56547,-0.030176,-0.00815183,0.199645,-0.259948,97.44,-1.05089,-1.56977,0.0257043,-0.00756512,0.199491,
0.303,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.27477,94.8963,-0.552221,-0.0212274,0.00592915,-2.33813,0.199491,3.30533,94.9278,-0.624925,-0.0167622,-0.0145742,-2.36141,0.199491,0.45641,94.1556,-0.771232,-0.00505512,-0.00554346,-0.772831,0.199491,0.83235,96.5176,1.91206,-0.00817438,-0.00706678,-0.813939,0.199491,0.677676,94.5185,1.87543,-1.56511,-0.0310086,-0.0082053,0.199645,-0.258099,97.1433,-1.04843,-1.56975,0.0270105,-0.00784004,0.199491,
