tgDataLogger2 started logging at time 01262019_220656, with 6 sensors on 1 senseable objects.
time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,2_rod(strut).X,2_rod(strut).Y,2_rod(strut).Z,2_rod(strut).Euler1,2_rod(strut).Euler2,2_rod(strut).Euler3,2_rod(strut).mass,3_rod(strut).X,3_rod(strut).Y,3_rod(strut).Z,3_rod(strut).Euler1,3_rod(strut).Euler2,3_rod(strut).Euler3,3_rod(strut).mass,4_rod(strut).X,4_rod(strut).Y,4_rod(strut).Z,4_rod(strut).Euler1,4_rod(strut).Euler2,4_rod(strut).Euler3,4_rod(strut).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,
2.2,-4.27615,5.34259,-1.25061,-0.00988033,-0.184544,-2.4266,0.199491,3.06627,5.3054,-0.325134,-0.0257499,-0.116055,-2.41419,0.199491,0.483667,4.80233,-0.706287,0.00305946,-0.121633,-0.868806,0.199491,0.456889,6.99784,1.73667,-0.00542526,-0.135783,-0.852792,0.199491,0.28193,5.11341,1.78395,-1.5838,-0.0622257,0.110499,0.199645,-0.280195,7.48482,-1.4031,-1.58478,-0.0653082,0.137089,0.199491,
2.3,-4.23634,5.35636,-1.2596,-0.0292202,-0.196091,-2.42748,0.199491,3.03781,5.334,-0.358044,-0.0173391,-0.115683,-2.42387,0.199491,0.484802,4.80176,-0.703435,-0.00317249,-0.116765,-0.868219,0.199491,0.505271,6.9707,1.63615,0.0218003,-0.151362,-0.8602,0.199491,0.31434,5.1881,1.73347,-1.57322,-0.0549912,0.103325,0.199645,-0.273362,7.48237,-1.40404,-1.58585,-0.0745211,0.136202,0.199491,
2.4,-4.1887,5.37277,-1.27179,-0.0302752,-0.183702,-2.43285,0.199491,2.9999,5.36807,-0.403451,-0.00999633,-0.120387,-2.43523,0.199491,0.485332,4.8005,-0.704784,-0.00645258,-0.11398,-0.868176,0.199491,0.563987,6.93508,1.50803,0.0184044,-0.138376,-0.863652,0.199491,0.348575,5.28027,1.66867,-1.56072,-0.0570136,0.0935901,0.199645,-0.268118,7.48231,-1.40761,-1.58843,-0.0958104,0.135141,0.199491,
2.5,-4.23962,5.3557,-1.25884,-0.0166602,-0.182421,-2.4296,0.199491,3.03896,5.33266,-0.356728,-0.0219687,-0.120451,-2.42288,0.199491,0.484212,4.80168,-0.704194,-0.00268078,-0.117019,-0.868295,0.199491,0.502244,6.97287,1.64135,-0.00358021,-0.12995,-0.856401,0.199491,0.312331,5.18461,1.73595,-1.5753,-0.0701146,0.103747,0.199645,-0.274632,7.48302,-1.40463,-1.58588,-0.074782,0.136177,0.199491,
2.6,-4.27385,5.34253,-1.24879,-0.0141046,-0.189343,-2.42581,0.199491,3.05776,5.30666,-0.321085,-0.0263418,-0.117812,-2.4145,0.199491,0.481258,4.80328,-0.699671,0.0138668,-0.131244,-0.869922,0.199491,0.4564,6.99196,1.7328,-0.00415562,-0.136865,-0.852859,0.199491,0.279346,5.11803,1.78397,-1.58286,-0.0622276,0.110357,0.199645,-0.28267,7.48273,-1.39691,-1.58465,-0.0636288,0.137698,0.199491,
2.7,-4.20933,5.3651,-1.26426,-0.0313789,-0.191396,-2.43003,0.199491,3.0145,5.35267,-0.37989,-0.0124696,-0.117129,-2.43017,0.199491,0.484167,4.80166,-0.699993,-0.0116518,-0.109862,-0.867285,0.199491,0.537171,6.9495,1.56729,0.0138232,-0.139185,-0.861068,0.199491,0.332604,5.23898,1.69952,-1.56648,-0.0581769,0.0980841,0.199645,-0.27095,7.48106,-1.40251,-1.58731,-0.0859218,0.135821,0.199491,
2.8,-4.20152,5.3681,-1.2667,-0.0283946,-0.185641,-2.43159,0.199491,3.00824,5.3588,-0.388067,-0.0157868,-0.123289,-2.43164,0.199491,0.484235,4.80129,-0.700839,-0.0118921,-0.10962,-0.867356,0.199491,0.547259,6.94409,1.54497,0.00927043,-0.133538,-0.861219,0.199491,0.338458,5.25525,1.68818,-1.56497,-0.0654202,0.096445,0.199645,-0.270151,7.48149,-1.40377,-1.58766,-0.0891656,0.135613,0.199491,
2.9,-4.26626,5.34553,-1.24974,-0.00777353,-0.180128,-2.42792,0.199491,3.05414,5.31229,-0.327854,-0.0282679,-0.121161,-2.41596,0.199491,0.481767,4.80305,-0.699262,-0.000625369,-0.119048,-0.868174,0.199491,0.466673,6.98857,1.71463,-0.00731568,-0.132566,-0.853232,0.199491,0.287015,5.13218,1.77467,-1.58202,-0.0696911,0.108982,0.199645,-0.280491,7.48268,-1.39774,-1.58502,-0.0665752,0.137314,0.199491,
3,-4.25154,5.35024,-1.25319,-0.0216454,-0.192227,-2.4269,0.199491,3.04042,5.32273,-0.338329,-0.0195628,-0.115263,-2.42016,0.199491,0.480863,4.80316,-0.696046,0.00206002,-0.121743,-0.868468,0.199491,0.483071,6.97625,1.67689,0.00169803,-0.137685,-0.8556,0.199491,0.296877,5.16024,1.75618,-1.57737,-0.0625225,0.106436,0.199645,-0.279366,7.48089,-1.39612,-1.58558,-0.0708202,0.137347,0.199491,
3.1,-4.19604,5.36923,-1.26661,-0.0306436,-0.187004,-2.43158,0.199491,2.99951,5.3619,-0.389779,-0.010496,-0.119166,-2.43325,0.199491,0.482593,4.80181,-0.697173,-0.0114249,-0.110361,-0.867266,0.199491,0.55159,6.93658,1.53168,0.0133566,-0.136221,-0.861926,0.199491,0.33879,5.26517,1.68274,-1.56308,-0.062821,0.0954673,0.199645,-0.271504,7.48016,-1.40012,-1.5881,-0.0918862,0.135944,0.199491,
3.2,-4.22796,5.35857,-1.25851,-0.0226122,-0.186785,-2.42946,0.199491,3.02458,5.33966,-0.36028,-0.0187268,-0.119899,-2.42539,0.199491,0.482093,4.80253,-0.696935,-0.00908338,-0.112273,-0.867335,0.199491,0.512926,6.96046,1.61564,0.00702203,-0.13737,-0.858402,0.199491,0.316466,5.20492,1.7251,-1.57195,-0.0671058,0.101888,0.199645,-0.275185,7.48056,-1.39837,-1.58646,-0.0783718,0.136576,0.199491,
3.3,-4.27456,5.3416,-1.24583,-0.00817985,-0.183331,-2.4266,0.199491,3.05413,5.30531,-0.315729,-0.0258876,-0.117214,-2.41413,0.199491,0.479221,4.80408,-0.694357,0.00166529,-0.121417,-0.868174,0.199491,0.453185,6.98953,1.73776,-0.0075545,-0.134474,-0.85206,0.199491,0.275476,5.11572,1.78806,-1.58363,-0.0677948,0.110725,0.199645,-0.284468,7.48125,-1.39179,-1.58472,-0.0632982,0.13812,0.199491,
3.4,-4.22342,5.35971,-1.25934,-0.0321044,-0.196795,-2.42804,0.199491,3.01908,5.34223,-0.361394,-0.0148584,-0.116745,-2.42666,0.199491,0.481145,4.80284,-0.693875,-0.0110334,-0.111064,-0.867029,0.199491,0.516568,6.95602,1.60624,0.00777209,-0.137556,-0.858796,0.199491,0.317478,5.21229,1.72097,-1.57037,-0.0626373,0.101302,0.199645,-0.275205,7.47948,-1.39614,-1.58684,-0.0807312,0.136895,0.199491,
3.5,-4.20077,5.36799,-1.26558,-0.0280733,-0.185586,-2.43161,0.199491,3.00128,5.35916,-0.383817,-0.014668,-0.122903,-2.43189,0.199491,0.481364,4.80204,-0.695239,-0.0123586,-0.109901,-0.867096,0.199491,0.545008,6.93986,1.54398,0.0145012,-0.138366,-0.86184,0.199491,0.334219,5.25743,1.68952,-1.56444,-0.0650311,0.0965966,0.199645,-0.272684,7.47996,-1.39865,-1.58802,-0.090707,0.136336,0.199491,
3.6,-4.25675,5.34885,-1.25125,-0.0101064,-0.180658,-2.42856,0.199491,3.04211,5.31955,-0.332112,-0.0259084,-0.121297,-2.41842,0.199491,0.47951,4.80343,-0.6942,-0.00238327,-0.118234,-0.867862,0.199491,0.476002,6.97954,1.6903,0.00162433,-0.138793,-0.85526,0.199491,0.291459,5.15173,1.76378,-1.57913,-0.067596,0.107505,0.199645,-0.280953,7.48101,-1.3943,-1.58548,-0.069464,0.137682,0.199491,
3.7,-4.26155,5.34675,-1.24978,-0.0127858,-0.185283,-2.42741,0.199491,3.04163,5.31581,-0.325515,-0.0216201,-0.115927,-2.4178,0.199491,0.47778,4.80399,-0.691483,0.00134821,-0.121704,-0.868161,0.199491,0.468061,6.98005,1.70263,-0.0016276,-0.137223,-0.854248,0.199491,0.284593,5.14286,1.77089,-1.57993,-0.066145,0.108534,0.199645,-0.283468,7.4801,-1.39122,-1.58538,-0.068082,0.138226,0.199491,
3.8,-4.20546,5.36597,-1.26415,-0.0308196,-0.190334,-2.43042,0.199491,3.0012,5.35554,-0.377274,-0.0099614,-0.116676,-2.43133,0.199491,0.479669,4.80264,-0.692522,-0.0107595,-0.111596,-0.867111,0.199491,0.537365,6.94063,1.5563,0.0139211,-0.139135,-0.861192,0.199491,0.328159,5.24865,1.69646,-1.56538,-0.0639211,0.0977077,0.199645,-0.274894,7.47884,-1.39575,-1.58776,-0.0879594,0.136829,0.199491,
