time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,2_rod(strut).X,2_rod(strut).Y,2_rod(strut).Z,2_rod(strut).Euler1,2_rod(strut).Euler2,2_rod(strut).Euler3,2_rod(strut).mass,3_rod(strut).X,3_rod(strut).Y,3_rod(strut).Z,3_rod(strut).Euler1,3_rod(strut).Euler2,3_rod(strut).Euler3,3_rod(strut).mass,4_rod(strut).X,4_rod(strut).Y,4_rod(strut).Z,4_rod(strut).Euler1,4_rod(strut).Euler2,4_rod(strut).Euler3,4_rod(strut).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,
0.2121,-4.32638,97.2309,-0.511393,-0.010261,0.00776391,-2.34398,0.199491,3.33274,97.24,-0.571385,-0.0112021,-0.00960553,-2.35979,0.199491,0.46095,96.4722,-0.741806,-0.00416146,-0.00272364,-0.776831,0.199491,0.837543,98.843,1.97608,-0.00432909,-0.00598598,-0.804733,0.199491,0.708764,96.8487,1.92197,-1.56846,-0.0217473,-0.00763712,0.199645,-0.274745,99.4846,-1.02813,-1.56998,0.0152546,-0.00536679,0.199491,
0.2222,-4.32068,97.0149,-0.511235,-0.0113893,0.00762969,-2.34334,0.199491,3.32969,97.0265,-0.572617,-0.0118209,-0.0101603,-2.35997,0.199491,0.460453,96.2582,-0.740359,-0.00426963,-0.00303874,-0.77638,0.199491,0.837033,98.628,1.97369,-0.00473631,-0.00610547,-0.80577,0.199491,0.705271,96.6332,1.92153,-1.56807,-0.0229166,-0.00770879,0.199645,-0.272896,99.2678,-1.02567,-1.56995,0.0165608,-0.0056415,0.199491,
0.2323,-4.31498,96.789,-0.511075,-0.0125194,0.00749532,-2.34269,0.199491,3.32664,96.803,-0.573848,-0.0124395,-0.0107152,-2.36016,0.199491,0.459956,96.0342,-0.738913,-0.00437796,-0.00335364,-0.775929,0.199491,0.836523,98.4031,1.9713,-0.00514356,-0.00622554,-0.806807,0.199491,0.701779,96.4076,1.92108,-1.56768,-0.0240845,-0.00777959,0.199645,-0.271046,99.0411,-1.02321,-1.56993,0.017867,-0.00591623,0.199491,
0.2424,-4.30927,96.553,-0.510918,-0.0136555,0.00735679,-2.34204,0.199491,3.32359,96.5695,-0.575079,-0.0130579,-0.0112704,-2.36034,0.199491,0.459459,95.8003,-0.737466,-0.00448649,-0.00366853,-0.775478,0.199491,0.836012,98.1681,1.96891,-0.00555084,-0.0063462,-0.807844,0.199491,0.698286,96.1721,1.92064,-1.5673,-0.0252444,-0.0078517,0.199645,-0.269197,98.8044,-1.02074,-1.5699,0.0191732,-0.00619098,0.199491,
0.2525,-4.30357,96.307,-0.510763,-0.0147978,0.00721467,-2.34139,0.199491,3.32054,96.326,-0.57631,-0.0136761,-0.0118258,-2.36052,0.199491,0.458962,95.5563,-0.73602,-0.0045952,-0.00398342,-0.775027,0.199491,0.835501,97.9231,1.96653,-0.00595813,-0.0064666,-0.80888,0.199491,0.694794,95.9266,1.9202,-1.56692,-0.0263957,-0.00792478,0.199645,-0.267347,98.5576,-1.01828,-1.56987,0.0204794,-0.00646575,0.199491,
0.2626,-4.29785,96.051,-0.51059,-0.015998,0.00703157,-2.34074,0.199491,3.31749,96.0725,-0.577541,-0.0142941,-0.0123814,-2.3607,0.199491,0.458466,95.3023,-0.734573,-0.00470411,-0.00429831,-0.774576,0.199491,0.834934,97.6681,1.96412,-0.00638414,-0.00659102,-0.809905,0.199491,0.691342,95.671,1.91975,-1.56654,-0.0274683,-0.0079955,0.199645,-0.265497,98.3009,-1.01582,-1.56985,0.0217856,-0.00674055,0.199491,
0.2727,-4.29211,95.7849,-0.510376,-0.0173116,0.00675269,-2.3401,0.199491,3.31444,95.809,-0.578773,-0.0149119,-0.0129373,-2.36088,0.199491,0.457967,95.0383,-0.733127,-0.00480795,-0.00461168,-0.774129,0.199491,0.834306,97.4031,1.96171,-0.00682867,-0.00671585,-0.810918,0.199491,0.687931,95.4055,1.91927,-1.56618,-0.028382,-0.00804783,0.199645,-0.263648,98.0341,-1.01336,-1.56982,0.0230919,-0.00701538,0.199491,
0.2828,-4.28633,95.5089,-0.510171,-0.018605,0.00648669,-2.33944,0.199491,3.31139,95.5354,-0.580004,-0.0155294,-0.0134933,-2.36107,0.199491,0.457448,94.7642,-0.731681,-0.0048901,-0.00492226,-0.773696,0.199491,0.833657,97.1281,1.95931,-0.0072765,-0.00683261,-0.811926,0.199491,0.684522,95.13,1.9188,-1.56583,-0.0292851,-0.00810051,0.199645,-0.261798,97.7573,-1.0109,-1.5698,0.0243981,-0.00729024,0.199491,
0.2929,-4.28055,95.2229,-0.509969,-0.0199019,0.00621976,-2.33879,0.199491,3.30835,95.2519,-0.581239,-0.0161464,-0.0140421,-2.36124,0.199491,0.456929,94.4802,-0.730235,-0.00497252,-0.00523285,-0.773263,0.199491,0.833006,96.8431,1.95691,-0.00772467,-0.00694981,-0.812933,0.199491,0.681106,94.8445,1.91833,-1.56547,-0.030176,-0.00815183,0.199645,-0.259948,97.4706,-1.00844,-1.56977,0.0257043,-0.00756512,0.199491,
0.303,-4.27477,94.9268,-0.509778,-0.0212274,0.00592915,-2.33813,0.199491,3.30533,94.9583,-0.582482,-0.0167622,-0.0145742,-2.36141,0.199491,0.45641,94.1861,-0.728789,-0.00505512,-0.00554346,-0.772831,0.199491,0.83235,96.5481,1.9545,-0.00817438,-0.00706678,-0.813939,0.199491,0.677676,94.549,1.91788,-1.56511,-0.0310086,-0.0082053,0.199645,-0.258099,97.1738,-1.00598,-1.56975,0.0270105,-0.00784004,0.199491,
0.3131,-4.26898,94.6207,-0.509583,-0.0225694,0.00562924,-2.33747,0.199491,3.3023,94.6547,-0.583725,-0.0173778,-0.0151066,-2.36158,0.199491,0.455883,93.882,-0.727345,-0.0051379,-0.00586175,-0.7724,0.199491,0.831685,96.2431,1.9521,-0.00862623,-0.0071814,-0.814943,0.199491,0.674259,94.2435,1.91742,-1.56475,-0.0318152,-0.00825529,0.199645,-0.256249,96.867,-1.00352,-1.56973,0.0283168,-0.00811499,0.199491,
0.3232,-4.2632,94.3046,-0.509395,-0.0239952,0.00524922,-2.33682,0.199491,3.29928,94.3411,-0.584969,-0.0179933,-0.0156393,-2.36175,0.199491,0.455339,93.568,-0.725907,-0.00521701,-0.00619904,-0.771981,0.199491,0.830995,95.9281,1.9497,-0.00908486,-0.00729498,-0.815941,0.199491,0.670877,93.928,1.91694,-1.5644,-0.0324531,-0.00828927,0.199645,-0.254389,96.5502,-1.00102,-1.56971,0.0295871,-0.00841422,0.199491,
0.3333,-4.25741,93.9784,-0.50921,-0.0254748,0.00482267,-2.33617,0.199491,3.29625,94.0175,-0.586212,-0.0186085,-0.0161721,-2.36191,0.199491,0.454794,93.244,-0.724476,-0.00529027,-0.00654284,-0.77157,0.199491,0.830278,95.603,1.94729,-0.00955192,-0.00740918,-0.816934,0.199491,0.667516,93.6025,1.91645,-1.56407,-0.0329835,-0.00831536,0.199645,-0.252523,96.2234,-0.998502,-1.56971,0.0308391,-0.0087259,0.199491,
0.3434,-4.25163,93.6422,-0.509027,-0.0269638,0.00439012,-2.33553,0.199491,3.29323,93.6838,-0.587459,-0.019223,-0.0166985,-2.36208,0.199491,0.454249,92.91,-0.723045,-0.00536374,-0.00688727,-0.77116,0.199491,0.829559,95.268,1.94489,-0.0100191,-0.00752317,-0.817927,0.199491,0.66415,93.2671,1.91597,-1.56373,-0.0334944,-0.0083405,0.199645,-0.250657,95.8866,-0.995981,-1.5697,0.032091,-0.00903761,0.199491,
0.3535,-4.24583,93.2961,-0.508849,-0.0284592,0.00395229,-2.33488,0.199491,3.29022,93.3402,-0.588706,-0.019837,-0.0172226,-2.36224,0.199491,0.453695,92.5659,-0.721614,-0.0054296,-0.00723216,-0.770755,0.199491,0.828834,94.923,1.94249,-0.010487,-0.00763156,-0.818917,0.199491,0.660782,92.9216,1.91549,-1.5634,-0.0339752,-0.00836356,0.199645,-0.248791,95.5398,-0.99346,-1.56969,0.033343,-0.00934937,0.199491,
0.3636,-4.24002,92.9398,-0.508661,-0.0300099,0.00346684,-2.33422,0.199491,3.2872,92.9866,-0.589954,-0.0204508,-0.0177466,-2.3624,0.199491,0.453123,92.2119,-0.720184,-0.00549098,-0.00758896,-0.770355,0.199491,0.828092,94.5679,1.94009,-0.0109594,-0.00773664,-0.819904,0.199491,0.657437,92.5661,1.91499,-1.56308,-0.0343666,-0.00838071,0.199645,-0.246925,95.183,-0.990939,-1.56969,0.0345949,-0.00966116,0.199491,
0.3737,-4.2342,92.5736,-0.508451,-0.0316298,0.00292344,-2.33357,0.199491,3.28423,92.6229,-0.591157,-0.0210415,-0.0182479,-2.36256,0.199491,0.452545,91.8479,-0.718756,-0.00554979,-0.00794907,-0.769959,0.199491,0.82733,94.2028,1.9377,-0.0114363,-0.00784573,-0.820886,0.199491,0.654068,92.2006,1.91443,-1.56275,-0.0346075,-0.00841278,0.199645,-0.245064,94.8162,-0.988419,-1.56968,0.0358359,-0.00997358,0.199491,
0.3838,-4.22832,92.1974,-0.508242,-0.0333521,0.00230864,-2.33292,0.199491,3.2813,92.2492,-0.592342,-0.0216049,-0.0187242,-2.36273,0.199491,0.451919,91.4738,-0.717328,-0.0055892,-0.00833243,-0.769577,0.199491,0.826604,93.8277,1.93538,-0.0118833,-0.00802705,-0.821866,0.199491,0.650683,91.8252,1.9138,-1.56244,-0.0345723,-0.00845072,0.199645,-0.243272,94.4395,-0.985916,-1.56964,0.0369101,-0.0102927,0.199491,
0.3939,-4.22243,91.8111,-0.508039,-0.0351604,0.00161521,-2.33226,0.199491,3.27838,91.8655,-0.593551,-0.022165,-0.0191966,-2.36291,0.199491,0.451194,91.0898,-0.715875,-0.00557277,-0.008733,-0.769206,0.199491,0.825864,93.4425,1.93309,-0.0123292,-0.00822098,-0.822836,0.199491,0.647331,91.4398,1.91316,-1.56212,-0.0343445,-0.00847883,0.199645,-0.241413,94.0527,-0.983434,-1.5696,0.0379694,-0.0106014,0.199491,
0.404,-4.21656,91.4147,-0.507867,-0.0369718,0.000913835,-2.33162,0.199491,3.27545,91.4718,-0.594763,-0.0227242,-0.0196647,-2.36309,0.199491,0.450499,90.6958,-0.714332,-0.00560487,-0.00910048,-0.768811,0.199491,0.825123,93.0474,1.9308,-0.0127753,-0.00841384,-0.823805,0.199491,0.64397,91.0444,1.91253,-1.56182,-0.034041,-0.00849886,0.199645,-0.239567,93.656,-0.981011,-1.56958,0.0390299,-0.0109524,0.199491,
0.4141,-4.21069,91.0084,-0.507681,-0.0388591,0.000148959,-2.33096,0.199491,3.27253,91.068,-0.595915,-0.0232497,-0.0200699,-2.36328,0.199491,0.449788,90.2918,-0.712799,-0.00564548,-0.0094531,-0.768401,0.199491,0.824378,92.6422,1.92851,-0.013222,-0.00860316,-0.824772,0.199491,0.64062,90.6389,1.9119,-1.56151,-0.033572,-0.00852043,0.199645,-0.237705,93.2493,-0.978663,-1.56954,0.0401216,-0.011297,0.199491,
0.4242,-4.20486,90.5921,-0.507533,-0.0406218,-0.000496739,-2.3303,0.199491,3.26961,90.6543,-0.597035,-0.0237557,-0.0204391,-2.36349,0.199491,0.449053,89.8779,-0.711299,-0.00567664,-0.00981717,-0.767998,0.199491,0.823594,92.227,1.92623,-0.013679,-0.0087813,-0.825731,0.199491,0.637299,90.2235,1.91124,-1.56122,-0.0328351,-0.0085319,0.199645,-0.235775,92.8324,-0.976257,-1.56943,0.0410977,-0.0116781,0.199491,
0.4343,-4.19903,90.1657,-0.507384,-0.0424428,-0.00119265,-2.32963,0.199491,3.26672,90.2305,-0.598154,-0.024247,-0.0207927,-2.3637,0.199491,0.448276,89.454,-0.709788,-0.00569183,-0.0101951,-0.767602,0.199491,0.822771,91.8018,1.92397,-0.0141427,-0.00896554,-0.826675,0.199491,0.634003,89.7981,1.91054,-1.56094,-0.0318348,-0.00853692,0.199645,-0.233807,92.4055,-0.973838,-1.56931,0.0420345,-0.0120726,0.199491,
0.4444,-4.1932,89.7294,-0.507235,-0.0442999,-0.00191897,-2.32896,0.199491,3.26384,89.7966,-0.599274,-0.0247311,-0.0211361,-2.36391,0.199491,0.447494,89.0201,-0.708234,-0.00571341,-0.0105638,-0.767206,0.199491,0.821946,91.3666,1.92173,-0.0146051,-0.00915172,-0.827615,0.199491,0.630694,89.3627,1.90984,-1.56066,-0.0307495,-0.0085443,0.199645,-0.231837,91.9686,-0.971473,-1.56918,0.0429949,-0.0124712,0.199491,
0.4545,-4.18736,89.2831,-0.507094,-0.0461619,-0.00265192,-2.32829,0.199491,3.26099,89.3528,-0.60047,-0.0252855,-0.021527,-2.36414,0.199491,0.446719,88.5761,-0.70666,-0.00575222,-0.0109274,-0.76681,0.199491,0.821114,90.9214,1.91948,-0.0150684,-0.00933445,-0.828553,0.199491,0.627387,88.9172,1.90914,-1.56039,-0.0296139,-0.00854991,0.199645,-0.229913,91.5218,-0.969043,-1.56904,0.0437742,-0.0128393,0.199491,
0.4646,-4.18152,88.8267,-0.506974,-0.0480473,-0.00341791,-2.32763,0.199491,3.25816,88.8989,-0.601676,-0.0258587,-0.0219349,-2.36438,0.199491,0.445913,88.1222,-0.705041,-0.00579127,-0.0112841,-0.766412,0.199491,0.820253,90.4661,1.91724,-0.0155401,-0.00951505,-0.829484,0.199491,0.624107,88.4618,1.90839,-1.56013,-0.0283374,-0.00855176,0.199645,-0.227981,91.0649,-0.966583,-1.5689,0.0444561,-0.0132214,0.199491,
0.4747,-4.17566,88.3603,-0.506843,-0.050042,-0.00427591,-2.32696,0.199491,3.25535,88.435,-0.602885,-0.0264302,-0.0223294,-2.36462,0.199491,0.445101,87.6583,-0.703412,-0.00582913,-0.0116467,-0.766022,0.199491,0.81937,90.0009,1.915,-0.0160181,-0.00969106,-0.83041,0.199491,0.62083,87.9964,1.90763,-1.55988,-0.026908,-0.0085484,0.199645,-0.22605,90.5981,-0.96414,-1.56875,0.0451345,-0.0136018,0.199491,
