tgDataLogger2 started logging at time 01232019_205721, with 6 sensors on 1 senseable objects.
time,0_rod(rod compound_Gp6g6N).X,0_rod(rod compound_Gp6g6N).Y,0_rod(rod compound_Gp6g6N).Z,0_rod(rod compound_Gp6g6N).Euler1,0_rod(rod compound_Gp6g6N).Euler2,0_rod(rod compound_Gp6g6N).Euler3,0_rod(rod compound_Gp6g6N).mass,1_rod(rod compound_Gp6g6N).X,1_rod(rod compound_Gp6g6N).Y,1_rod(rod compound_Gp6g6N).Z,1_rod(rod compound_Gp6g6N).Euler1,1_rod(rod compound_Gp6g6N).Euler2,1_rod(rod compound_Gp6g6N).Euler3,1_rod(rod compound_Gp6g6N).mass,2_rod(rod compound_Gp6g6N).X,2_rod(rod compound_Gp6g6N).Y,2_rod(rod compound_Gp6g6N).Z,2_rod(rod compound_Gp6g6N).Euler1,2_rod(rod compound_Gp6g6N).Euler2,2_rod(rod compound_Gp6g6N).Euler3,2_rod(rod compound_Gp6g6N).mass,3_rod(strut compound_Gp6g6N).X,3_rod(strut compound_Gp6g6N).Y,3_rod(strut compound_Gp6g6N).Z,3_rod(strut compound_Gp6g6N).Euler1,3_rod(strut compound_Gp6g6N).Euler2,3_rod(strut compound_Gp6g6N).Euler3,3_rod(strut compound_Gp6g6N).mass,4_rod(strut compound_Gp6g6N).X,4_rod(strut compound_Gp6g6N).Y,4_rod(strut compound_Gp6g6N).Z,4_rod(strut compound_Gp6g6N).Euler1,4_rod(strut compound_Gp6g6N).Euler2,4_rod(strut compound_Gp6g6N).Euler3,4_rod(strut compound_Gp6g6N).mass,5_rod(strut compound_Gp6g6N).X,5_rod(strut compound_Gp6g6N).Y,5_rod(strut compound_Gp6g6N).Z,5_rod(strut compound_Gp6g6N).Euler1,5_rod(strut compound_Gp6g6N).Euler2,5_rod(strut compound_Gp6g6N).Euler3,5_rod(strut compound_Gp6g6N).mass,
2.1,10.0369,5.59016,2.70003,-1.14132,-0.177219,-0.129367,45.0463,10.0369,5.59016,2.70003,-1.14132,-0.177219,-0.129367,45.0463,10.0369,5.59016,2.70003,-1.14132,-0.177219,-0.129367,45.0463,10.0369,5.59016,2.70003,-1.14132,-0.177219,-0.129367,45.0463,10.0369,5.59016,2.70003,-1.14132,-0.177219,-0.129367,45.0463,10.0369,5.59016,2.70003,-1.14132,-0.177219,-0.129367,45.0463,
2.2,11.3983,2.72351,2.50739,-1.47172,-0.233441,-0.14045,45.0463,11.3983,2.72351,2.50739,-1.47172,-0.233441,-0.14045,45.0463,11.3983,2.72351,2.50739,-1.47172,-0.233441,-0.14045,45.0463,11.3983,2.72351,2.50739,-1.47172,-0.233441,-0.14045,45.0463,11.3983,2.72351,2.50739,-1.47172,-0.233441,-0.14045,45.0463,11.3983,2.72351,2.50739,-1.47172,-0.233441,-0.14045,45.0463,
2.3,11.6213,2.47535,2.47031,-1.52293,-0.251613,-0.140839,45.0463,11.6213,2.47535,2.47031,-1.52293,-0.251613,-0.140839,45.0463,11.6213,2.47535,2.47031,-1.52293,-0.251613,-0.140839,45.0463,11.6213,2.47535,2.47031,-1.52293,-0.251613,-0.140839,45.0463,11.6213,2.47535,2.47031,-1.52293,-0.251613,-0.140839,45.0463,11.6213,2.47535,2.47031,-1.52293,-0.251613,-0.140839,45.0463,
2.4,11.6259,2.13514,2.46291,-1.5337,-0.263868,-0.141301,45.0463,11.6259,2.13514,2.46291,-1.5337,-0.263868,-0.141301,45.0463,11.6259,2.13514,2.46291,-1.5337,-0.263868,-0.141301,45.0463,11.6259,2.13514,2.46291,-1.5337,-0.263868,-0.141301,45.0463,11.6259,2.13514,2.46291,-1.5337,-0.263868,-0.141301,45.0463,11.6259,2.13514,2.46291,-1.5337,-0.263868,-0.141301,45.0463,
2.5,11.625,2.135,2.45609,-1.53212,-0.27462,-0.141724,45.0463,11.625,2.135,2.45609,-1.53212,-0.27462,-0.141724,45.0463,11.625,2.135,2.45609,-1.53212,-0.27462,-0.141724,45.0463,11.625,2.135,2.45609,-1.53212,-0.27462,-0.141724,45.0463,11.625,2.135,2.45609,-1.53212,-0.27462,-0.141724,45.0463,11.625,2.135,2.45609,-1.53212,-0.27462,-0.141724,45.0463,
2.6,11.624,2.135,2.44905,-1.53048,-0.285693,-0.142179,45.0463,11.624,2.135,2.44905,-1.53048,-0.285693,-0.142179,45.0463,11.624,2.135,2.44905,-1.53048,-0.285693,-0.142179,45.0463,11.624,2.135,2.44905,-1.53048,-0.285693,-0.142179,45.0463,11.624,2.135,2.44905,-1.53048,-0.285693,-0.142179,45.0463,11.624,2.135,2.44905,-1.53048,-0.285693,-0.142179,45.0463,
2.7,11.6231,2.135,2.44181,-1.52877,-0.297087,-0.142669,45.0463,11.6231,2.135,2.44181,-1.52877,-0.297087,-0.142669,45.0463,11.6231,2.135,2.44181,-1.52877,-0.297087,-0.142669,45.0463,11.6231,2.135,2.44181,-1.52877,-0.297087,-0.142669,45.0463,11.6231,2.135,2.44181,-1.52877,-0.297087,-0.142669,45.0463,11.6231,2.135,2.44181,-1.52877,-0.297087,-0.142669,45.0463,
2.8,11.622,2.135,2.43436,-1.527,-0.308805,-0.143196,45.0463,11.622,2.135,2.43436,-1.527,-0.308805,-0.143196,45.0463,11.622,2.135,2.43436,-1.527,-0.308805,-0.143196,45.0463,11.622,2.135,2.43436,-1.527,-0.308805,-0.143196,45.0463,11.622,2.135,2.43436,-1.527,-0.308805,-0.143196,45.0463,11.622,2.135,2.43436,-1.527,-0.308805,-0.143196,45.0463,
2.9,11.621,2.135,2.42669,-1.52517,-0.320875,-0.143764,45.0463,11.621,2.135,2.42669,-1.52517,-0.320875,-0.143764,45.0463,11.621,2.135,2.42669,-1.52517,-0.320875,-0.143764,45.0463,11.621,2.135,2.42669,-1.52517,-0.320875,-0.143764,45.0463,11.621,2.135,2.42669,-1.52517,-0.320875,-0.143764,45.0463,11.621,2.135,2.42669,-1.52517,-0.320875,-0.143764,45.0463,
3,11.6199,2.135,2.41879,-1.52327,-0.333298,-0.144375,45.0463,11.6199,2.135,2.41879,-1.52327,-0.333298,-0.144375,45.0463,11.6199,2.135,2.41879,-1.52327,-0.333298,-0.144375,45.0463,11.6199,2.135,2.41879,-1.52327,-0.333298,-0.144375,45.0463,11.6199,2.135,2.41879,-1.52327,-0.333298,-0.144375,45.0463,11.6199,2.135,2.41879,-1.52327,-0.333298,-0.144375,45.0463,
3.1,11.6188,2.135,2.41069,-1.5213,-0.346042,-0.145032,45.0463,11.6188,2.135,2.41069,-1.5213,-0.346042,-0.145032,45.0463,11.6188,2.135,2.41069,-1.5213,-0.346042,-0.145032,45.0463,11.6188,2.135,2.41069,-1.5213,-0.346042,-0.145032,45.0463,11.6188,2.135,2.41069,-1.5213,-0.346042,-0.145032,45.0463,11.6188,2.135,2.41069,-1.5213,-0.346042,-0.145032,45.0463,
3.2,11.6176,2.135,2.40238,-1.51926,-0.359119,-0.145736,45.0463,11.6176,2.135,2.40238,-1.51926,-0.359119,-0.145736,45.0463,11.6176,2.135,2.40238,-1.51926,-0.359119,-0.145736,45.0463,11.6176,2.135,2.40238,-1.51926,-0.359119,-0.145736,45.0463,11.6176,2.135,2.40238,-1.51926,-0.359119,-0.145736,45.0463,11.6176,2.135,2.40238,-1.51926,-0.359119,-0.145736,45.0463,
3.3,11.6165,2.135,2.39383,-1.51714,-0.372559,-0.146494,45.0463,11.6165,2.135,2.39383,-1.51714,-0.372559,-0.146494,45.0463,11.6165,2.135,2.39383,-1.51714,-0.372559,-0.146494,45.0463,11.6165,2.135,2.39383,-1.51714,-0.372559,-0.146494,45.0463,11.6165,2.135,2.39383,-1.51714,-0.372559,-0.146494,45.0463,11.6165,2.135,2.39383,-1.51714,-0.372559,-0.146494,45.0463,
3.4,11.6153,2.135,2.38507,-1.51494,-0.386341,-0.147307,45.0463,11.6153,2.135,2.38507,-1.51494,-0.386341,-0.147307,45.0463,11.6153,2.135,2.38507,-1.51494,-0.386341,-0.147307,45.0463,11.6153,2.135,2.38507,-1.51494,-0.386341,-0.147307,45.0463,11.6153,2.135,2.38507,-1.51494,-0.386341,-0.147307,45.0463,11.6153,2.135,2.38507,-1.51494,-0.386341,-0.147307,45.0463,
3.5,11.614,2.135,2.37609,-1.51267,-0.400447,-0.148178,45.0463,11.614,2.135,2.37609,-1.51267,-0.400447,-0.148178,45.0463,11.614,2.135,2.37609,-1.51267,-0.400447,-0.148178,45.0463,11.614,2.135,2.37609,-1.51267,-0.400447,-0.148178,45.0463,11.614,2.135,2.37609,-1.51267,-0.400447,-0.148178,45.0463,11.614,2.135,2.37609,-1.51267,-0.400447,-0.148178,45.0463,
