tgDataLogger2 started logging at time 01232019_205643, with 6 sensors on 1 senseable objects.
time,0_rod(rod compound_OLa9ER).X,0_rod(rod compound_OLa9ER).Y,0_rod(rod compound_OLa9ER).Z,0_rod(rod compound_OLa9ER).Euler1,0_rod(rod compound_OLa9ER).Euler2,0_rod(rod compound_OLa9ER).Euler3,0_rod(rod compound_OLa9ER).mass,1_rod(rod compound_OLa9ER).X,1_rod(rod compound_OLa9ER).Y,1_rod(rod compound_OLa9ER).Z,1_rod(rod compound_OLa9ER).Euler1,1_rod(rod compound_OLa9ER).Euler2,1_rod(rod compound_OLa9ER).Euler3,1_rod(rod compound_OLa9ER).mass,2_rod(rod compound_OLa9ER).X,2_rod(rod compound_OLa9ER).Y,2_rod(rod compound_OLa9ER).Z,2_rod(rod compound_OLa9ER).Euler1,2_rod(rod compound_OLa9ER).Euler2,2_rod(rod compound_OLa9ER).Euler3,2_rod(rod compound_OLa9ER).mass,3_rod(strut compound_OLa9ER).X,3_rod(strut compound_OLa9ER).Y,3_rod(strut compound_OLa9ER).Z,3_rod(strut compound_OLa9ER).Euler1,3_rod(strut compound_OLa9ER).Euler2,3_rod(strut compound_OLa9ER).Euler3,3_rod(strut compound_OLa9ER).mass,4_rod(strut compound_OLa9ER).X,4_rod(strut compound_OLa9ER).Y,4_rod(strut compound_OLa9ER).Z,4_rod(strut compound_OLa9ER).Euler1,4_rod(strut compound_OLa9ER).Euler2,4_rod(strut compound_OLa9ER).Euler3,4_rod(strut compound_OLa9ER).mass,5_rod(strut compound_OLa9ER).X,5_rod(strut compound_OLa9ER).Y,5_rod(strut compound_OLa9ER).Z,5_rod(strut compound_OLa9ER).Euler1,5_rod(strut compound_OLa9ER).Euler2,5_rod(strut compound_OLa9ER).Euler3,5_rod(strut compound_OLa9ER).mass,
2.1,10.0362,5.59282,2.69975,-1.14097,-0.177295,-0.129416,45.0463,10.0362,5.59282,2.69975,-1.14097,-0.177295,-0.129416,45.0463,10.0362,5.59282,2.69975,-1.14097,-0.177295,-0.129416,45.0463,10.0362,5.59282,2.69975,-1.14097,-0.177295,-0.129416,45.0463,10.0362,5.59282,2.69975,-1.14097,-0.177295,-0.129416,45.0463,10.0362,5.59282,2.69975,-1.14097,-0.177295,-0.129416,45.0463,
2.2,11.3978,2.72708,2.50701,-1.47128,-0.233519,-0.140523,45.0463,11.3978,2.72708,2.50701,-1.47128,-0.233519,-0.140523,45.0463,11.3978,2.72708,2.50701,-1.47128,-0.233519,-0.140523,45.0463,11.3978,2.72708,2.50701,-1.47128,-0.233519,-0.140523,45.0463,11.3978,2.72708,2.50701,-1.47128,-0.233519,-0.140523,45.0463,11.3978,2.72708,2.50701,-1.47128,-0.233519,-0.140523,45.0463,
2.3,11.6185,2.29321,2.47044,-1.51756,-0.252072,-0.140836,45.0463,11.6185,2.29321,2.47044,-1.51756,-0.252072,-0.140836,45.0463,11.6185,2.29321,2.47044,-1.51756,-0.252072,-0.140836,45.0463,11.6185,2.29321,2.47044,-1.51756,-0.252072,-0.140836,45.0463,11.6185,2.29321,2.47044,-1.51756,-0.252072,-0.140836,45.0463,11.6185,2.29321,2.47044,-1.51756,-0.252072,-0.140836,45.0463,
2.4,11.63,2.135,2.46205,-1.53344,-0.265825,-0.141313,45.0463,11.63,2.135,2.46205,-1.53344,-0.265825,-0.141313,45.0463,11.63,2.135,2.46205,-1.53344,-0.265825,-0.141313,45.0463,11.63,2.135,2.46205,-1.53344,-0.265825,-0.141313,45.0463,11.63,2.135,2.46205,-1.53344,-0.265825,-0.141313,45.0463,11.63,2.135,2.46205,-1.53344,-0.265825,-0.141313,45.0463,
2.5,11.629,2.135,2.45493,-1.53178,-0.277024,-0.141757,45.0463,11.629,2.135,2.45493,-1.53178,-0.277024,-0.141757,45.0463,11.629,2.135,2.45493,-1.53178,-0.277024,-0.141757,45.0463,11.629,2.135,2.45493,-1.53178,-0.277024,-0.141757,45.0463,11.629,2.135,2.45493,-1.53178,-0.277024,-0.141757,45.0463,11.629,2.135,2.45493,-1.53178,-0.277024,-0.141757,45.0463,
2.6,11.628,2.135,2.44761,-1.53007,-0.288546,-0.142236,45.0463,11.628,2.135,2.44761,-1.53007,-0.288546,-0.142236,45.0463,11.628,2.135,2.44761,-1.53007,-0.288546,-0.142236,45.0463,11.628,2.135,2.44761,-1.53007,-0.288546,-0.142236,45.0463,11.628,2.135,2.44761,-1.53007,-0.288546,-0.142236,45.0463,11.628,2.135,2.44761,-1.53007,-0.288546,-0.142236,45.0463,
2.7,11.627,2.135,2.44008,-1.52829,-0.300404,-0.142752,45.0463,11.627,2.135,2.44008,-1.52829,-0.300404,-0.142752,45.0463,11.627,2.135,2.44008,-1.52829,-0.300404,-0.142752,45.0463,11.627,2.135,2.44008,-1.52829,-0.300404,-0.142752,45.0463,11.627,2.135,2.44008,-1.52829,-0.300404,-0.142752,45.0463,11.627,2.135,2.44008,-1.52829,-0.300404,-0.142752,45.0463,
2.8,11.6259,2.135,2.43231,-1.52645,-0.312626,-0.143309,45.0463,11.6259,2.135,2.43231,-1.52645,-0.312626,-0.143309,45.0463,11.6259,2.135,2.43231,-1.52645,-0.312626,-0.143309,45.0463,11.6259,2.135,2.43231,-1.52645,-0.312626,-0.143309,45.0463,11.6259,2.135,2.43231,-1.52645,-0.312626,-0.143309,45.0463,11.6259,2.135,2.43231,-1.52645,-0.312626,-0.143309,45.0463,
2.9,11.6248,2.135,2.42433,-1.52453,-0.325182,-0.143908,45.0463,11.6248,2.135,2.42433,-1.52453,-0.325182,-0.143908,45.0463,11.6248,2.135,2.42433,-1.52453,-0.325182,-0.143908,45.0463,11.6248,2.135,2.42433,-1.52453,-0.325182,-0.143908,45.0463,11.6248,2.135,2.42433,-1.52453,-0.325182,-0.143908,45.0463,11.6248,2.135,2.42433,-1.52453,-0.325182,-0.143908,45.0463,
3,11.6237,2.135,2.41614,-1.52256,-0.33806,-0.144552,45.0463,11.6237,2.135,2.41614,-1.52256,-0.33806,-0.144552,45.0463,11.6237,2.135,2.41614,-1.52256,-0.33806,-0.144552,45.0463,11.6237,2.135,2.41614,-1.52256,-0.33806,-0.144552,45.0463,11.6237,2.135,2.41614,-1.52256,-0.33806,-0.144552,45.0463,11.6237,2.135,2.41614,-1.52256,-0.33806,-0.144552,45.0463,
