time,0_rod(payload_bars compound_mG722N).X,0_rod(payload_bars compound_mG722N).Y,0_rod(payload_bars compound_mG722N).Z,0_rod(payload_bars compound_mG722N).Euler1,0_rod(payload_bars compound_mG722N).Euler2,0_rod(payload_bars compound_mG722N).Euler3,0_rod(payload_bars compound_mG722N).mass,1_rod(payload_bars compound_mG722N).X,1_rod(payload_bars compound_mG722N).Y,1_rod(payload_bars compound_mG722N).Z,1_rod(payload_bars compound_mG722N).Euler1,1_rod(payload_bars compound_mG722N).Euler2,1_rod(payload_bars compound_mG722N).Euler3,1_rod(payload_bars compound_mG722N).mass,2_rod(payload_bars compound_mG722N).X,2_rod(payload_bars compound_mG722N).Y,2_rod(payload_bars compound_mG722N).Z,2_rod(payload_bars compound_mG722N).Euler1,2_rod(payload_bars compound_mG722N).Euler2,2_rod(payload_bars compound_mG722N).Euler3,2_rod(payload_bars compound_mG722N).mass,3_rod(payload_bars compound_mG722N).X,3_rod(payload_bars compound_mG722N).Y,3_rod(payload_bars compound_mG722N).Z,3_rod(payload_bars compound_mG722N).Euler1,3_rod(payload_bars compound_mG722N).Euler2,3_rod(payload_bars compound_mG722N).Euler3,3_rod(payload_bars compound_mG722N).mass,4_rod(payload_bars compound_mG722N).X,4_rod(payload_bars compound_mG722N).Y,4_rod(payload_bars compound_mG722N).Z,4_rod(payload_bars compound_mG722N).Euler1,4_rod(payload_bars compound_mG722N).Euler2,4_rod(payload_bars compound_mG722N).Euler3,4_rod(payload_bars compound_mG722N).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.2121,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.32518,7.19689,-0.55624,-0.0093654,0.0090082,-2.34394,0.199491,3.33093,7.20563,-0.61594,-0.0110643,-0.00996988,-2.36012,0.199491,0.460823,6.43985,-0.786347,-0.00450512,-0.00217348,-0.777548,0.199491,0.836527,8.806,1.92613,-0.00334516,-0.00720903,-0.804075,0.199491,0.707679,6.81649,1.87568,-1.5683,-0.0207981,-0.00734489,0.199645,-0.275966,9.45053,-1.07335,-1.56995,0.013338,-0.00541241,0.199491,
0.2222,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.31945,6.98082,-0.556233,-0.0103055,0.00907804,-2.34329,0.199491,3.32786,6.99194,-0.617251,-0.0116624,-0.0105465,-2.36032,0.199491,0.46034,6.22576,-0.785012,-0.00462294,-0.00242716,-0.777133,0.199491,0.835953,8.5907,1.92333,-0.0037022,-0.00740612,-0.805062,0.199491,0.704101,6.60086,1.87516,-1.56789,-0.0220819,-0.00743982,0.199645,-0.274187,9.23368,-1.07106,-1.56992,0.014543,-0.00569432,0.199491,
0.2323,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.31371,6.75473,-0.556231,-0.0112528,0.00914163,-2.34264,0.199491,3.32478,6.76824,-0.618562,-0.0122602,-0.0111233,-2.36052,0.199491,0.459848,6.00166,-0.783668,-0.00474045,-0.00268458,-0.776716,0.199491,0.835379,8.36539,1.92054,-0.00405914,-0.00760364,-0.80605,0.199491,0.70053,6.37524,1.87464,-1.56748,-0.0233537,-0.00753746,0.199645,-0.272405,9.00683,-1.06878,-1.56988,0.0157506,-0.00597702,0.199491,
0.2424,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.30798,6.51862,-0.556252,-0.012195,0.0092071,-2.342,0.199491,3.32171,6.53454,-0.619872,-0.0128578,-0.0117003,-2.36072,0.199491,0.459344,5.76757,-0.782321,-0.00485327,-0.00294384,-0.776299,0.199491,0.834805,8.13007,1.91774,-0.00441596,-0.00780161,-0.807037,0.199491,0.696964,6.13961,1.87413,-1.56707,-0.0246153,-0.00763719,0.199645,-0.27061,8.76998,-1.06648,-1.56986,0.0169463,-0.00626948,0.199491,
0.2525,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.30225,6.2725,-0.556277,-0.0131441,0.0092677,-2.34135,0.199491,3.31864,6.29083,-0.621183,-0.0134552,-0.0122776,-2.36093,0.199491,0.458834,5.52346,-0.780974,-0.00496492,-0.00320592,-0.775883,0.199491,0.834231,7.88475,1.91495,-0.00477271,-0.00799908,-0.808024,0.199491,0.693401,5.89398,1.87362,-1.56667,-0.0258662,-0.00773905,0.199645,-0.268812,8.52312,-1.06418,-1.56983,0.0181422,-0.00656156,0.199491,
0.2626,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.29652,6.01635,-0.556311,-0.0141002,0.00932779,-2.3407,0.199491,3.31556,6.03711,-0.622493,-0.0140524,-0.0128552,-2.36113,0.199491,0.458321,5.26936,-0.779626,-0.00507704,-0.00347054,-0.775468,0.199491,0.83365,7.62942,1.91216,-0.00512962,-0.00819159,-0.809009,0.199491,0.689842,5.63834,1.87311,-1.56628,-0.0271047,-0.00784311,0.199645,-0.267015,8.26625,-1.06188,-1.5698,0.0193384,-0.00685382,0.199491,
0.2727,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.28788,5.74929,-0.552834,-0.0150913,0.00672817,-2.34199,0.199491,3.3088,5.77192,-0.616135,-0.0126032,-0.00807556,-2.36449,0.199491,0.458111,5.07735,-0.787938,-0.0113334,0.0020089,-0.79275,0.199491,0.833426,7.365,1.90897,-0.00498905,-0.00840319,-0.810221,0.199491,0.686158,5.37344,1.87283,-1.56604,-0.0275222,-0.00800458,0.199645,-0.265206,8.00214,-1.07112,-1.5695,0.0238754,-0.00802651,0.199491,
0.2828,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.25125,5.48556,-0.567889,0.020515,0.0129601,-2.3537,0.199491,3.25659,5.51704,-0.614093,-0.0374325,0.000552645,-2.36949,0.199491,0.462368,4.97702,-0.764257,-0.0383725,0.0299071,-0.821557,0.199491,0.848297,7.12304,1.91135,0.0087195,-0.0166488,-0.811218,0.199491,0.686924,5.10364,1.87137,-1.56905,-0.0140005,-0.0129226,0.199645,-0.270976,7.7645,-1.15563,-1.56712,-0.00942487,-0.00731922,0.199491,
0.2929,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.21935,5.25274,-0.613877,0.00716728,-0.0480434,-2.37302,0.199491,3.17402,5.27114,-0.631646,-0.0475236,0.0392494,-2.37725,0.199491,0.492272,4.89353,-0.713188,-0.0918785,0.0822277,-0.847904,0.199491,0.863114,6.94692,1.91953,-0.00576337,0.00299961,-0.810604,0.199491,0.70048,4.86247,1.81968,-1.57409,-0.0212067,-0.0227965,0.199645,-0.293649,7.47614,-1.23317,-1.57178,0.00455142,8.66461e-05,0.199491,
0.303,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.17628,5.14258,-0.648588,-0.130744,-0.20674,-2.3493,0.199491,3.10747,5.12873,-0.648467,0.111994,0.224099,-2.34487,0.199491,0.50532,4.84961,-0.71039,-0.0356133,0.035778,-0.856392,0.199491,0.854077,6.74614,1.91131,0.00247687,-0.00712469,-0.812829,0.199491,0.693033,4.69007,1.77628,-1.58192,-0.0203106,-0.0242258,0.199645,-0.300753,7.28236,-1.25087,-1.57232,-0.0188587,0.00080273,0.199491,
